"filename", "language", "TypeScript", "JSON", "JavaScript", "JSON with Comments", "Markdown", "MS SQL", "XML", "TypeScript JSX", "PostCSS", "HTML", "comment", "blank", "total"
"d:\Axtra Studios\Projects\Audit Portal\audit-portal\src\components\ui\avatar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 43, 0, 0, 0, 6, 49
"d:\Axtra Studios\Projects\Audit Portal\audit-portal\src\components\ui\badge.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 31, 0, 0, 1, 6, 38
"d:\Axtra Studios\Projects\Audit Portal\audit-portal\src\components\ui\breadcrumb.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 105, 0, 0, 0, 11, 116
"d:\Axtra Studios\Projects\Audit Portal\audit-portal\src\components\ui\button.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 51, 0, 0, 1, 6, 58
"d:\Axtra Studios\Projects\Audit Portal\audit-portal\src\components\ui\calendar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 60, 0, 0, 0, 5, 65
"d:\Axtra Studios\Projects\Audit Portal\audit-portal\src\components\ui\card.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 71, 0, 0, 0, 9, 80
"d:\Axtra Studios\Projects\Audit Portal\audit-portal\src\components\ui\carousel.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 231, 0, 0, 1, 30, 262
"d:\Axtra Studios\Projects\Audit Portal\audit-portal\src\components\ui\chart.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 326, 0, 0, 3, 36, 365
"d:\Axtra Studios\Projects\Audit Portal\audit-portal\src\components\ui\checkbox.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 1, 4, 30
"d:\Axtra Studios\Projects\Audit Portal\audit-portal\src\components\ui\collapsible.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 5, 10
"d:\Axtra Studios\Projects\Audit Portal\audit-portal\src\components\ui\command.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 136, 0, 0, 0, 18, 154
"d:\Axtra Studios\Projects\Audit Portal\audit-portal\src\components\ui\context-menu.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 181, 0, 0, 0, 18, 199
"d:\Axtra Studios\Projects\Audit Portal\audit-portal\src\components\ui\dialog.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 108, 0, 0, 1, 13, 122
"d:\Axtra Studios\Projects\Audit Portal\audit-portal\src\components\ui\drawer.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 104, 0, 0, 0, 13, 117
"d:\Axtra Studios\Projects\Audit Portal\audit-portal\src\components\ui\dropdown-menu.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 181, 0, 0, 0, 18, 199
"d:\Axtra Studios\Projects\Audit Portal\audit-portal\src\components\ui\enhanced-loader.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 118, 0, 0, 0, 7, 125
"d:\Axtra Studios\Projects\Audit Portal\audit-portal\src\components\ui\form.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 152, 0, 0, 1, 25, 178
"d:\Axtra Studios\Projects\Audit Portal\audit-portal\src\components\ui\hover-card.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 6, 28
"d:\Axtra Studios\Projects\Audit Portal\audit-portal\src\components\ui\input-otp.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 62, 0, 0, 0, 8, 70
